pb_acc	gene
ENSMUST00000029025.9	Zdbf2
ENSMUST00000029124.8	Gm9826
ENSMUST00000029667.13	Kcnq5
ENSMUST00000030039.13	Fmn2
ENSMUST00000034868.14	Clk1
ENSMUST00000035065.9	Ptgs2
ENSMUST00000035295.6	Degs1
ENSMUST00000035325.15	Qsox1
ENSMUST00000035430.4	Dars2
ENSMUST00000035462.7	Dsel
ENSMUST00000035560.9	Acbd6
ENSMUST00000035569.12	Nbeal1
ENSMUST00000035577.7	Cpa6
ENSMUST00000035779.15	Acsl3
ENSMUST00000035911.5	Rc3h1
ENSMUST00000035914.5	BC034090
ENSMUST00000035991.8	Bivm
ENSMUST00000036025.16	Ccdc93
ENSMUST00000036153.12	Cops8
ENSMUST00000036172.10	Sgpp2
ENSMUST00000036288.11	R3hdm1
ENSMUST00000036329.12	Wdr26
ENSMUST00000036540.12	Fam117b
ENSMUST00000036643.6	Lrrc52
ENSMUST00000036819.7	Degs1l
ENSMUST00000036928.12	Ephx1
ENSMUST00000036954.9	Gbx2
ENSMUST00000037286.12	C1ql2
ENSMUST00000037294.8	Tfap2d
ENSMUST00000037330.5	Inha
ENSMUST00000037361.9	Lefty1
ENSMUST00000037649.6	Rab3gap1
ENSMUST00000037708.10	Asic4
ENSMUST00000037748.9	Hnrnpu
ENSMUST00000037796.14	Gmppa
ENSMUST00000037840.12	Cfap221
ENSMUST00000037906.6	Tmem177
ENSMUST00000037998.6	Tram2
ENSMUST00000038006.8	Acmsd
ENSMUST00000038091.8	Sde2
ENSMUST00000038191.8	Adora1
ENSMUST00000038227.6	Ackr1
ENSMUST00000038252.4	B3galt2
ENSMUST00000038295.15	Plekha6
ENSMUST00000038361.11	Mgat5
ENSMUST00000038372.14	Hycc2
ENSMUST00000038382.5	Jph1
ENSMUST00000038432.7	Or10j5
ENSMUST00000038445.13	Mybph
ENSMUST00000038447.6	Efhc1
ENSMUST00000038495.5	Crp
ENSMUST00000038760.10	Lad1
ENSMUST00000038765.6	Inhbb
ENSMUST00000038782.4	Mael
ENSMUST00000038829.7	Fcmr
ENSMUST00000038945.6	Phlda3
ENSMUST00000039046.10	Il17f
